studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Penguin_BMI,Species_Label
PAL0708,1,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,11/11/07,39.1,18.7,181.0,3750.0,1,8.7333816969697,-25.6862915407855,Not enough blood for isotopes.,0.11446537040993865,0
PAL0708,2,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,11/11/07,39.5,17.4,186.0,3800.0,0,8.94956,-24.69454,,0.10983928777893398,0
PAL0708,3,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A1,Yes,11/16/07,40.3,18.0,195.0,3250.0,0,8.36821,-25.33302,,0.08547008547008547,0
PAL0708,4,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A2,Yes,11/16/07,43.9219298245614,17.151169590643278,200.91520467836258,4201.754385964912,1,8.7333816969697,-25.6862915407855,Adult not sampled.,0.10408905215045883,0
PAL0708,5,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,11/16/07,36.7,19.3,193.0,3450.0,0,8.76651,-25.32426,,0.09261993610566727,0
PAL0708,6,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,11/16/07,39.3,20.6,190.0,3650.0,1,8.66496,-25.29805,,0.10110803324099724,0
PAL0708,7,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,11/15/07,38.9,17.8,181.0,3625.0,0,9.18718,-25.21799,Nest never observed with full clutch.,0.1106498580629407,0
PAL0708,8,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A2,No,11/15/07,39.2,19.6,195.0,4675.0,1,9.4606,-24.89958,Nest never observed with full clutch.,0.12294543063773833,0
PAL0708,9,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N5A1,Yes,11/9/07,34.1,18.1,193.0,3475.0,1,8.7333816969697,-25.6862915407855,No blood sample obtained.,0.09329109506295472,0
PAL0708,10,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N5A2,Yes,11/9/07,42.0,20.2,190.0,4250.0,1,9.13362,-25.09368,No blood sample obtained for sexing.,0.11772853185595568,0
PAL0708,11,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,11/9/07,37.8,17.1,186.0,3300.0,1,8.63243,-25.21315,No blood sample obtained for sexing.,0.09538674991328477,0
PAL0708,12,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,11/9/07,37.8,17.3,180.0,3700.0,1,8.7333816969697,-25.6862915407855,No blood sample obtained.,0.11419753086419752,0
PAL0708,13,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,11/15/07,41.1,17.6,182.0,3200.0,0,8.7333816969697,-25.6862915407855,Not enough blood for isotopes.,0.09660669001328342,0
PAL0708,14,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,11/15/07,38.6,21.2,191.0,3800.0,1,8.7333816969697,-25.6862915407855,Not enough blood for isotopes.,0.10416381129903238,0
PAL0708,15,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,11/16/07,34.6,21.1,198.0,4400.0,1,8.55583,-25.22588,,0.1122334455667789,0
PAL0708,16,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,11/16/07,36.6,17.8,185.0,3700.0,0,8.7333816969697,-25.6862915407855,Not enough blood for isotopes.,0.10810810810810811,0
PAL0708,17,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,11/12/07,38.7,19.0,195.0,3450.0,0,9.18528,-25.06691,,0.09072978303747535,0
PAL0708,18,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A2,Yes,11/12/07,42.5,20.7,197.0,4500.0,1,8.67538,-25.13993,,0.11595248524826715,0
PAL0708,19,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,11/16/07,34.4,18.4,184.0,3325.0,0,8.47827,-25.23319,,0.09821006616257089,0
PAL0708,20,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A2,Yes,11/16/07,46.0,21.5,194.0,4200.0,1,9.11616,-24.77227,,0.11159528111382719,0
PAL0708,21,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,11/12/07,37.8,18.3,174.0,3400.0,0,8.73762,-25.09383,,0.11230017175320386,0
PAL0708,22,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,Yes,11/12/07,37.7,18.7,180.0,3600.0,1,8.66271,-25.0639,,0.1111111111111111,0
PAL0708,23,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,11/12/07,35.9,19.2,189.0,3800.0,0,9.22286,-25.03474,,0.10638000055989474,0
PAL0708,24,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,11/12/07,38.2,18.1,185.0,3950.0,1,8.43423,-25.22664,,0.1154127100073046,0
PAL0708,25,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,11/10/07,38.8,17.2,180.0,3800.0,1,9.63954,-25.29856,,0.11728395061728394,0
PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,11/10/07,35.3,18.9,187.0,3800.0,0,9.21292,-24.3613,,0.10866767708541851,0
PAL0708,27,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,11/12/07,40.6,18.6,183.0,3550.0,1,8.93997,-25.36288,,0.10600495685150348,0
PAL0708,28,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,11/12/07,40.5,17.9,187.0,3200.0,0,8.08138,-25.49448,,0.09150962280877349,0
PAL0708,29,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,11/10/07,37.9,18.6,172.0,3150.0,0,8.38404,-25.19837,Nest never observed with full clutch.,0.10647647376960519,0
PAL0708,30,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,11/10/07,40.5,18.9,180.0,3950.0,1,8.90027,-25.11609,Nest never observed with full clutch.,0.12191358024691358,0
PAL0708,31,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,11/9/07,39.5,16.7,178.0,3250.0,0,9.69756,-25.11223,,0.10257543239489963,0
PAL0708,32,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,11/9/07,37.2,18.1,178.0,3900.0,1,9.72764,-25.0102,,0.12309051887387956,0
PAL0708,33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,11/9/07,39.5,17.8,188.0,3300.0,0,9.66523,-25.0602,,0.09336803983703033,0
PAL0708,34,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,11/9/07,40.9,18.9,184.0,3900.0,1,8.79665,-25.14591,,0.1151937618147448,0
PAL0708,35,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,11/16/07,36.4,17.0,195.0,3325.0,0,9.17847,-25.23061,,0.08744247205785667,0
PAL0708,36,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,11/16/07,39.2,21.1,196.0,4150.0,1,9.15308,-25.03469,,0.10802790503956684,0
PAL0708,37,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,11/16/07,38.8,20.0,190.0,3950.0,1,9.18985,-25.12255,,0.10941828254847645,0
PAL0708,38,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,11/16/07,42.2,18.5,180.0,3550.0,0,8.04787,-25.49523,,0.1095679012345679,0
PAL0708,39,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,11/13/07,37.6,19.3,181.0,3300.0,0,9.41131,-25.04169,Nest never observed with full clutch.,0.10072952596074601,0
PAL0708,40,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,11/13/07,39.8,19.1,184.0,4650.0,1,8.7333816969697,-25.6862915407855,Nest never observed with full clutch. Not enough blood for isotopes.,0.13734640831758035,0
PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,11/16/07,36.5,18.0,182.0,3150.0,0,9.68933,-24.4228,,0.09509721048182587,0
PAL0708,42,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,11/16/07,40.8,18.4,195.0,3900.0,1,8.7333816969697,-25.6862915407855,Not enough blood for isotopes.,0.10256410256410256,0
PAL0708,43,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,11/19/07,36.0,18.5,186.0,3100.0,0,9.50772,-25.03492,,0.08960573476702509,0
PAL0708,44,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,11/19/07,44.1,19.7,196.0,4400.0,1,9.2372,-24.52698,,0.11453561016243231,0
PAL0708,45,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,11/16/07,37.0,16.9,185.0,3000.0,0,9.36392,-25.01745,,0.08765522279035792,0
PAL0708,46,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,11/16/07,39.6,18.8,190.0,4600.0,1,9.49106,-24.10255,,0.12742382271468145,0
PAL0708,47,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,11/13/07,41.1,19.0,182.0,3425.0,1,8.7333816969697,-25.6862915407855,Not enough blood for isotopes.,0.10339934790484241,0
PAL0708,48,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,11/13/07,37.5,18.9,179.0,2975.0,1,8.7333816969697,-25.6862915407855,Sexing primers did not amplify. Not enough blood for isotopes.,0.09284978621141662,0
PAL0708,49,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,11/13/07,36.0,17.9,190.0,3450.0,0,9.51784,-25.07683,,0.09556786703601108,0
PAL0708,50,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,11/13/07,42.3,21.2,191.0,4150.0,1,8.87988,-25.18543,,0.11375784655025904,0
PAL0809,51,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,11/6/08,39.6,17.7,186.0,3500.0,0,8.46616,-26.12989,,0.10116776505954446,0
PAL0809,52,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,11/6/08,40.1,18.9,188.0,4300.0,1,8.51362,-26.55602,,0.12166138524219104,0
PAL0809,53,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,11/9/08,35.0,17.9,190.0,3450.0,0,8.19539,-26.17213,,0.09556786703601108,0
PAL0809,54,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,11/9/08,42.0,19.5,200.0,4050.0,1,8.48095,-26.3146,,0.10125,0
PAL0809,55,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,11/9/08,34.5,18.1,187.0,2900.0,0,8.41837,-26.54718,,0.08293059567045097,0
PAL0809,56,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,11/9/08,41.4,18.6,191.0,3700.0,1,8.35396,-26.27853,,0.10142265837011047,0
PAL0809,57,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,11/15/08,39.0,17.5,186.0,3550.0,0,8.57199,-26.07188,,0.10261301884610938,0
PAL0809,58,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,11/15/08,40.6,18.8,193.0,3800.0,1,8.56674,-25.98843,,0.10201616150769148,0
PAL0809,59,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,11/15/08,36.5,16.6,181.0,2850.0,0,9.07878,-25.88156,,0.08699368151155337,0
PAL0809,60,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,11/15/08,37.6,19.1,194.0,3750.0,1,9.108,-25.89677,,0.09963864385163142,0
PAL0809,61,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,11/13/08,35.7,16.9,185.0,3150.0,0,8.96472,-26.40943,,0.09203798392987582,0
PAL0809,62,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,11/13/08,41.3,21.1,195.0,4400.0,1,8.74802,-26.37809,,0.11571334648257725,0
PAL0809,63,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,11/13/08,37.6,17.0,185.0,3600.0,0,8.58063,-26.21569,,0.10518626734842951,0
PAL0809,64,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,11/13/08,41.1,18.2,192.0,4050.0,1,8.62264,-26.60023,,0.10986328125,0
PAL0809,65,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,11/13/08,36.4,17.1,184.0,2850.0,0,8.62623,-26.1165,,0.08418005671077505,0
PAL0809,66,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,11/13/08,41.6,18.0,192.0,3950.0,1,8.85562,-26.09294,,0.1071506076388889,0
PAL0809,67,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,11/6/08,35.5,16.2,195.0,3350.0,0,8.56192,-25.95541,,0.0880999342537804,0
PAL0809,68,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,11/6/08,41.1,19.1,188.0,4100.0,1,8.71078,-25.81012,,0.1160027161611589,0
PAL0809,69,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,11/11/08,35.9,16.6,190.0,3050.0,0,8.47781,-26.07821,Nest never observed with full clutch.,0.08448753462603878,0
PAL0809,70,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,11/11/08,41.8,19.4,198.0,4450.0,1,8.86853,-26.06209,Nest never observed with full clutch.,0.11350882563003775,0
PAL0809,71,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,11/14/08,33.5,19.0,190.0,3600.0,0,7.88863,-26.63085,,0.0997229916897507,0
PAL0809,72,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,11/14/08,39.7,18.4,190.0,3900.0,1,9.29808,-25.23453,,0.10803324099722991,0
PAL0809,73,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,11/11/08,39.6,17.2,196.0,3550.0,0,8.33524,-26.55351,,0.09240941274468971,0
PAL0809,74,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,11/11/08,45.8,18.9,197.0,4150.0,1,8.18658,-26.45978,,0.10693395861784638,0
PAL0809,75,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,11/8/08,35.5,17.5,190.0,3700.0,0,8.70642,-26.15003,,0.10249307479224377,0
PAL0809,76,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,11/8/08,42.8,18.5,195.0,4250.0,1,8.2993,-26.38986,,0.11176857330703485,0
PAL0809,77,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,11/6/08,40.9,16.8,191.0,3700.0,0,8.47257,-26.02002,,0.10142265837011047,0
PAL0809,78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,11/6/08,37.2,19.4,184.0,3900.0,1,8.3554,-26.44787,,0.1151937618147448,0
PAL0809,79,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,11/9/08,36.2,16.1,187.0,3550.0,0,7.82381,-26.51382,,0.10151848780348309,0
PAL0809,80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,11/9/08,42.1,19.1,195.0,4000.0,1,9.05736,-25.81513,,0.1051939513477975,0
PAL0809,81,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,11/2/08,34.6,17.2,189.0,3200.0,0,7.69778,-26.5387,,0.08958315836622716,0
PAL0809,82,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,11/2/08,42.9,17.6,196.0,4700.0,1,8.63259,-26.23027,,0.12234485630987088,0
PAL0809,83,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,11/7/08,36.7,18.8,187.0,3800.0,0,7.88494,-26.24837,,0.10866767708541851,0
PAL0809,84,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,11/7/08,35.1,19.4,193.0,4200.0,1,8.90002,-26.46254,,0.11275470482429059,0
PAL0809,85,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,11/17/08,37.3,17.8,191.0,3350.0,0,8.32718,-26.38396,,0.0918286231188838,0
PAL0809,86,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,11/17/08,41.3,20.3,194.0,3550.0,1,9.14863,-26.09635,,0.09432458284621108,0
PAL0809,87,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,11/8/08,36.3,19.5,190.0,3800.0,1,8.57087,-26.22227,,0.10526315789473684,0
PAL0809,88,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,11/8/08,36.9,18.6,189.0,3500.0,0,8.59147,-26.08165,,0.09798157946306095,0
PAL0809,89,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,11/8/08,38.3,19.2,189.0,3950.0,1,9.07826,-26.12417,,0.11057921110831163,0
PAL0809,90,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,11/8/08,38.9,18.8,190.0,3600.0,0,8.36936,-26.11199,,0.0997229916897507,0
PAL0809,91,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,11/14/08,35.7,18.0,202.0,3550.0,0,8.46531,-26.05621,,0.08700127438486423,0
PAL0809,92,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,11/14/08,41.1,18.1,205.0,4300.0,1,8.77018,-25.83352,,0.1023200475907198,0
PAL0809,93,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,11/5/08,34.0,17.1,185.0,3400.0,0,8.01485,-26.69543,,0.09934258582907232,0
PAL0809,94,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,11/5/08,39.6,18.1,186.0,4450.0,1,8.49915,-26.42406,,0.12862758700427795,0
PAL0809,95,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,11/17/08,36.2,17.3,187.0,3300.0,0,8.90723,-26.30037,,0.09436929852154766,0
PAL0809,96,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,11/17/08,40.8,18.9,208.0,4300.0,1,8.48204,-26.57941,,0.09938979289940829,0
PAL0809,97,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,11/8/08,38.1,18.6,190.0,3700.0,0,8.10277,-26.50086,,0.10249307479224377,0
PAL0809,98,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,11/8/08,40.3,18.5,196.0,4350.0,1,8.39459,-26.01152,,0.11323406913785923,0
PAL0809,99,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,11/10/08,33.1,16.1,178.0,2900.0,0,9.04218,-26.15775,,0.0915288473677566,0
PAL0809,100,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,11/10/08,43.2,18.5,192.0,4100.0,1,8.97025,-26.03679,,0.11121961805555555,0
PAL0910,101,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,11/9/09,35.0,17.9,192.0,3725.0,0,8.84451,-26.28055,,0.1010470920138889,0
PAL0910,102,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,11/9/09,41.0,20.0,203.0,4725.0,1,9.01079,-26.38085,,0.11465941905894343,0
PAL0910,103,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,11/15/09,37.7,16.0,183.0,3075.0,0,9.2151,-26.2253,,0.09182119501926006,0
PAL0910,104,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,11/15/09,37.8,20.0,190.0,4250.0,1,9.51929,-25.69199,,0.11772853185595568,0
PAL0910,105,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,11/15/09,37.9,18.6,193.0,2925.0,0,9.02642,-25.86482,,0.07852559800263094,0
PAL0910,106,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,11/15/09,39.7,18.9,184.0,3550.0,1,8.85699,-25.80208,,0.10485586011342155,0
PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,11/15/09,38.6,17.2,199.0,3750.0,0,8.77322,-26.48973,,0.09469457841973687,0
PAL0910,108,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,11/15/09,38.2,20.0,190.0,3900.0,1,9.59245,-25.70711,,0.10803324099722991,0
PAL0910,109,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,11/20/09,38.1,17.0,181.0,3175.0,0,9.79532,-25.27385,,0.09691401361374806,0
